Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#65;*Ly Thuong; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; 30 ; 30 ; -   ; 30 ; 30 ; 50 ; 70 ; 40 ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 62 ; 20 ; 10 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 233 ; 266 ; 268 ; 233 ; 266 ; 268 ; 339 ; 326 ; 288 ; 233 ; 236 ; 238 ; 3.194 ; 767 ; 767 ; 953 ; 707 ; 227 ; 236 ; 238 ; 107 ; 115 ; 103 ; 1.583,65 ; 1.630,69 ; 1.640,66 ; 8,29 ; 8,63 ; 8,83 ; 20,63 ; 21,47 ; 21,97 ;;;;
#66;Septimius Serv; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 35 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 246 ; 244 ; 243 ; 246 ; 244 ; 243 ; 246 ; 244 ; 243 ; 366 ; 319 ; 308 ; 3.194 ; 733 ; 733 ; 733 ; 993 ; 246 ; 244 ; 243 ; 122 ; 118 ; 118 ; 1.680,08 ; 1.670,17 ; 1.666,77 ; 9,00 ; 8,95 ; 8,92 ; 22,39 ; 22,27 ; 22,20 ;;;;
#67;Ii Naomasa; 25 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; -   ; 90 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; 20 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 339 ; 263 ; 391 ; 244 ; 243 ; 246 ; 244 ; 243 ; 246 ; 244 ; 243 ; 246 ; 3.192 ; 993 ; 733 ; 733 ; 733 ; 244 ; 243 ; 246 ; 121 ; 117 ; 120 ; 1.672,21 ; 1.664,57 ; 1.677,96 ; 8,94 ; 8,91 ; 9,00 ; 22,25 ; 22,17 ; 22,39 ;;;;
#68;Toyotomi; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 35 ; 30 ; 20 ; 15 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 20 ; 30 ; 20 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 245 ; 238 ; 245 ; 245 ; 238 ; 245 ; 330 ; 293 ; 305 ; 285 ; 253 ; 265 ; 3.190 ; 729 ; 729 ; 929 ; 804 ; 245 ; 238 ; 245 ; 120 ; 111 ; 120 ; 1.676,82 ; 1.640,06 ; 1.676,82 ; 8,99 ; 8,75 ; 8,99 ; 22,37 ; 21,77 ; 22,37 ;;;;
#69;*Jadwiga; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; 60 ; 50 ; 40 ; -   ; 50 ; 40 ; -   ; -   ; -   ; 55 ; -   ; -   ; 56 ; 20 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 341 ; 300 ; 293 ; 235 ; 280 ; 283 ; 225 ; 230 ; 243 ; 280 ; 230 ; 243 ; 3.184 ; 934 ; 798 ; 698 ; 753 ; 225 ; 230 ; 243 ; 106 ; 105 ; 114 ; 1.575,79 ; 1.601,95 ; 1.663,66 ; 8,23 ; 8,47 ; 8,93 ; 20,48 ; 21,08 ; 22,22 ;;;;
#70;*J Bowie; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 40 ; 40 ; 45 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 32 ; -   ; -   ; 42 ; 20 ; 20 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 308 ; 277 ; 272 ; 318 ; 297 ; 292 ; 237 ; 237 ; 232 ; 237 ; 237 ; 232 ; 3.177 ; 857 ; 907 ; 706 ; 706 ; 231 ; 237 ; 232 ; 112 ; 113 ; 97 ; 1.607,10 ; 1.633,11 ; 1.611,61 ; 8,45 ; 8,67 ; 8,63 ; 21,03 ; 21,57 ; 21,47 ;;;;
#71;Prince Eugene; 35 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 30 ; 30 ; -   ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 35 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 352 ; 305 ; 304 ; 242 ; 250 ; 259 ; 242 ; 240 ; 249 ; 242 ; 240 ; 249 ; 3.173 ; 961 ; 751 ; 731 ; 731 ; 242 ; 240 ; 249 ; 118 ; 117 ; 120 ; 1.659,96 ; 1.648,69 ; 1.694,97 ; 8,86 ; 8,77 ; 9,15 ; 22,05 ; 21,82 ; 22,77 ;;;;
#72;Surena; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 30 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 243 ; 241 ; 246 ; 243 ; 241 ; 246 ; 243 ; 241 ; 246 ; 353 ; 306 ; 321 ; 3.172 ; 731 ; 731 ; 731 ; 981 ; 243 ; 241 ; 246 ; 119 ; 116 ; 117 ; 1.666,69 ; 1.654,44 ; 1.681,58 ; 8,91 ; 8,83 ; 9,06 ; 22,17 ; 21,97 ; 22,54 ;;;;
#73;Henry V; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 40 ; 40 ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 46 ; 10 ; -   ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 252 ; 241 ; 241 ; 252 ; 241 ; 241 ; 352 ; 291 ; 281 ; 282 ; 241 ; 241 ; 3.156 ; 734 ; 734 ; 924 ; 764 ; 246 ; 241 ; 241 ; 118 ; 114 ; 115 ; 1.681,51 ; 1.654,59 ; 1.653,38 ; 9,05 ; 8,85 ; 8,83 ; 22,52 ; 22,02 ; 21,97 ;;;;
#74;*Tran Hung; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; 55 ; -   ; 35 ; 35 ; 50 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 227 ; 234 ; 231 ; 227 ; 269 ; 286 ; 237 ; 269 ; 266 ; 337 ; 289 ; 276 ; 3.148 ; 692 ; 782 ; 772 ; 902 ; 227 ; 234 ; 231 ; 102 ; 113 ; 108 ; 1.587,43 ; 1.619,50 ; 1.602,86 ; 8,37 ; 8,55 ; 8,45 ; 20,83 ; 21,28 ; 21,03 ;;;;
#75;Martinus; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 393 ; 262 ; 305 ; 242 ; 237 ; 250 ; 242 ; 237 ; 250 ; 242 ; 237 ; 250 ; 3.145 ; 960 ; 729 ; 729 ; 729 ; 242 ; 237 ; 250 ; 120 ; 115 ; 114 ; 1.660,95 ; 1.632,96 ; 1.698,82 ; 8,85 ; 8,65 ; 9,24 ; 22,02 ; 21,52 ; 22,99 ;;;;
#76;Ulysses; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; 50 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 20 ; -   ; 26 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 317 ; 263 ; 240 ; 241 ; 243 ; 240 ; 241 ; 243 ; 240 ; 337 ; 273 ; 260 ; 3.138 ; 820 ; 724 ; 724 ; 870 ; 241 ; 243 ; 240 ; 120 ; 115 ; 114 ; 1.655,28 ; 1.666,99 ; 1.647,78 ; 8,80 ; 8,95 ; 8,79 ; 21,90 ; 22,27 ; 21,87 ;;;;
#77;Minamoto; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 20 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 76 ; 10 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 233 ; 240 ; 245 ; 233 ; 240 ; 245 ; 374 ; 270 ; 295 ; 243 ; 240 ; 245 ; 3.100 ; 717 ; 717 ; 938 ; 727 ; 233 ; 240 ; 245 ; 113 ; 117 ; 112 ; 1.614,96 ; 1.648,69 ; 1.672,88 ; 8,51 ; 8,77 ; 9,03 ; 21,18 ; 21,82 ; 22,47 ;;;;
#78;Robert Guiscard; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 15 ; 15 ; -   ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 20 ; 30 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 314 ; 271 ; 290 ; 249 ; 261 ; 270 ; 239 ; 236 ; 245 ; 239 ; 236 ; 245 ; 3.094 ; 875 ; 780 ; 720 ; 720 ; 239 ; 236 ; 245 ; 109 ; 108 ; 112 ; 1.645,88 ; 1.630,08 ; 1.672,88 ; 8,82 ; 8,69 ; 9,03 ; 21,95 ; 21,62 ; 22,47 ;;;;
#79;Trajan; -   ; -   ; -   ; 15 ; 15 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 40 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 46 ; 10 ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 227 ; 247 ; 250 ; 308 ; 297 ; 331 ; 217 ; 247 ; 250 ; 217 ; 247 ; 250 ; 3.089 ; 724 ; 936 ; 714 ; 714 ; 217 ; 247 ; 250 ; 109 ; 120 ; 118 ; 1.535,87 ; 1.683,63 ; 1.701,92 ; 7,85 ; 9,05 ; 9,23 ; 19,53 ; 22,52 ; 22,97 ;;;;
#80;Takeda Shingen; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 30 ; -   ; 40 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 42 ; -   ; 20 ; 32 ; -   ; 10 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 312 ; 261 ; 265 ; 302 ; 261 ; 255 ; 236 ; 231 ; 245 ; 236 ; 231 ; 245 ; 3.078 ; 837 ; 817 ; 711 ; 711 ; 230 ; 231 ; 245 ; 114 ; 113 ; 106 ; 1.597,88 ; 1.603,62 ; 1.675,59 ; 8,35 ; 8,41 ; 9,11 ; 20,78 ; 20,93 ; 22,67 ;;;;
#81;Gwanggaeto; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 15 ; 20 ; 30 ; 15 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; 30 ; 10 ; 16 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 232 ; 231 ; 246 ; 232 ; 231 ; 246 ; 298 ; 276 ; 276 ; 278 ; 256 ; 266 ; 3.068 ; 709 ; 709 ; 850 ; 800 ; 232 ; 231 ; 246 ; 112 ; 108 ; 110 ; 1.609,37 ; 1.603,99 ; 1.682,10 ; 8,47 ; 8,46 ; 9,13 ; 21,08 ; 21,05 ; 22,72 ;;;;
#82;Elizabeth I; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 20 ; 20 ; 30 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 238 ; 236 ; 238 ; 238 ; 236 ; 238 ; 308 ; 276 ; 268 ; 268 ; 256 ; 258 ; 3.058 ; 712 ; 712 ; 852 ; 782 ; 238 ; 236 ; 238 ; 113 ; 112 ; 115 ; 1.638,78 ; 1.629,78 ; 1.642,04 ; 8,72 ; 8,65 ; 8,73 ; 21,70 ; 21,52 ; 21,72 ;;;;
#83;Khalid; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 30 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 50 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 284 ; 235 ; 262 ; 234 ; 225 ; 252 ; 244 ; 225 ; 252 ; 334 ; 235 ; 272 ; 3.053 ; 781 ; 711 ; 721 ; 841 ; 234 ; 225 ; 252 ; 112 ; 109 ; 114 ; 1.618,44 ; 1.574,43 ; 1.711,29 ; 8,55 ; 8,19 ; 9,35 ; 21,28 ; 20,38 ; 23,27 ;;;;
#84;Li Jing; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 20 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 347 ; 273 ; 283 ; 237 ; 233 ; 243 ; 237 ; 233 ; 243 ; 237 ; 233 ; 243 ; 3.043 ; 903 ; 713 ; 713 ; 713 ; 237 ; 233 ; 243 ; 117 ; 107 ; 109 ; 1.635,08 ; 1.616,54 ; 1.664,03 ; 8,65 ; 8,58 ; 8,98 ; 21,52 ; 21,35 ; 22,35 ;;;;
#85;Ramsesses II; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; -   ; -   ; -   ; 50 ; 35 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 30 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 239 ; 233 ; 238 ; 239 ; 243 ; 258 ; 249 ; 233 ; 238 ; 319 ; 288 ; 263 ; 3.040 ; 710 ; 740 ; 720 ; 870 ; 239 ; 233 ; 238 ; 111 ; 106 ; 113 ; 1.644,60 ; 1.613,21 ; 1.642,18 ; 8,79 ; 8,56 ; 8,75 ; 21,87 ; 21,30 ; 21,77 ;;;;
#86;Winfield Scott; 5 ; -   ; -   ; 5 ; -   ; -   ; 25 ; -   ; -   ; 5 ; -   ; -   ; 5 ; -   ; -   ; 5 ; -   ; -   ; 50 ; 25 ; 25 ; 5 ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 26 ; 10 ; -   ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 249 ; 238 ; 239 ; 249 ; 238 ; 239 ; 314 ; 273 ; 264 ; 259 ; 238 ; 239 ; 3.037 ; 725 ; 725 ; 850 ; 735 ; 238 ; 238 ; 239 ; 113 ; 113 ; 112 ; 1.638,78 ; 1.637,65 ; 1.645,66 ; 8,72 ; 8,71 ; 8,79 ; 21,70 ; 21,67 ; 21,87 ;;;;
#87;Edward the Black Prince; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 46 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 229 ; 241 ; 243 ; 229 ; 241 ; 243 ; 330 ; 251 ; 289 ; 229 ; 241 ; 243 ; 3.009 ; 713 ; 713 ; 870 ; 713 ; 229 ; 241 ; 243 ; 109 ; 116 ; 111 ; 1.597,11 ; 1.654,44 ; 1.663,88 ; 8,39 ; 8,83 ; 8,96 ; 20,88 ; 21,97 ; 22,30 ;;;;
#88;Alexander Nevsky; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; 10 ; 10 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 26 ; 6 ; 10 ; 36 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 243 ; 252 ; 284 ; 243 ; 262 ; 294 ; 233 ; 232 ; 248 ; 233 ; 232 ; 248 ; 3.004 ; 779 ; 799 ; 713 ; 713 ; 227 ; 232 ; 248 ; 108 ; 112 ; 111 ; 1.584,71 ; 1.611,64 ; 1.688,83 ; 8,29 ; 8,49 ; 9,18 ; 20,63 ; 21,13 ; 22,84 ;;;;
#89;Peter the Great; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 25 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 20 ; 30 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 227 ; 229 ; 251 ; 277 ; 284 ; 326 ; 217 ; 229 ; 251 ; 217 ; 229 ; 251 ; 2.989 ; 707 ; 887 ; 697 ; 697 ; 217 ; 229 ; 251 ; 101 ; 110 ; 114 ; 1.535,33 ; 1.594,77 ; 1.706,76 ; 7,92 ; 8,36 ; 9,31 ; 19,71 ; 20,80 ; 23,17 ;;;;
#90;Raged King; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; 10 ; 10 ; 45 ; 25 ; 25 ; 10 ; -   ; -   ; 10 ; -   ; -   ; 20 ; -   ; -   ; 30 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 249 ; 220 ; 238 ; 249 ; 220 ; 238 ; 259 ; 230 ; 248 ; 304 ; 245 ; 273 ; 2.972 ; 707 ; 707 ; 737 ; 822 ; 229 ; 220 ; 238 ; 98 ; 103 ; 110 ; 1.593,39 ; 1.549,92 ; 1.640,14 ; 8,46 ; 8,03 ; 8,76 ; 21,05 ; 19,98 ; 21,80 ;;;;
#91;Gustavus Adolphus; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 30 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 237 ; 224 ; 242 ; 237 ; 224 ; 242 ; 287 ; 224 ; 242 ; 307 ; 234 ; 262 ; 2.965 ; 704 ; 704 ; 754 ; 804 ; 237 ; 224 ; 242 ; 115 ; 95 ; 106 ; 1.637,50 ; 1.569,80 ; 1.660,85 ; 8,69 ; 8,28 ; 8,98 ; 21,62 ; 20,60 ; 22,35 ;;;;
#92;William Wallace; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 46 ; -   ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 237 ; 237 ; 227 ; 237 ; 237 ; 227 ; 247 ; 237 ; 227 ; 328 ; 237 ; 263 ; 2.941 ; 701 ; 701 ; 711 ; 828 ; 237 ; 237 ; 227 ; 113 ; 110 ; 103 ; 1.633,11 ; 1.634,47 ; 1.587,35 ; 8,67 ; 8,71 ; 8,36 ; 21,57 ; 21,67 ; 20,80 ;;;;
#93;Li Shimin; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 235 ; 225 ; 248 ; 235 ; 225 ; 248 ; 295 ; 240 ; 273 ; 235 ; 225 ; 248 ; 2.933 ; 708 ; 708 ; 808 ; 708 ; 235 ; 225 ; 248 ; 112 ; 106 ; 113 ; 1.625,25 ; 1.574,65 ; 1.690,95 ; 8,61 ; 8,22 ; 9,18 ; 21,42 ; 20,45 ; 22,84 ;;;;
#94;Jumong; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; 16 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 210 ; 240 ; 231 ; 210 ; 240 ; 231 ; 296 ; 281 ; 266 ; 210 ; 240 ; 231 ; 2.890 ; 682 ; 682 ; 844 ; 682 ; 210 ; 240 ; 231 ; 105 ; 112 ; 108 ; 1.502,14 ; 1.650,20 ; 1.607,40 ; 7,59 ; 8,83 ; 8,49 ; 18,89 ; 21,97 ; 21,13 ;;;;
#95;Oda Nobunaga; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 36 ; -   ; 30 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 217 ; 217 ; 242 ; 322 ; 237 ; 292 ; 217 ; 217 ; 242 ; 217 ; 217 ; 242 ; 2.876 ; 675 ; 850 ; 675 ; 675 ; 211 ; 217 ; 242 ; 106 ; 100 ; 113 ; 1.503,20 ; 1.533,13 ; 1.660,33 ; 7,59 ; 7,91 ; 8,91 ; 18,89 ; 19,68 ; 22,17 ;;;;
#96;Washington; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 36 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 316 ; 273 ; 264 ; 220 ; 212 ; 229 ; 210 ; 212 ; 229 ; 210 ; 212 ; 229 ; 2.818 ; 854 ; 662 ; 652 ; 652 ; 210 ; 212 ; 229 ; 104 ; 103 ; 105 ; 1.501,08 ; 1.511,36 ; 1.595,14 ; 7,59 ; 7,69 ; 8,41 ; 18,89 ; 19,14 ; 20,93 ;;;;
#97;Emperor Qin Shihuang; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 218 ; 215 ; 215 ; 218 ; 215 ; 215 ; 218 ; 215 ; 215 ; 314 ; 276 ; 240 ; 2.773 ; 648 ; 648 ; 648 ; 830 ; 218 ; 215 ; 215 ; 106 ; 100 ; 100 ; 1.540,63 ; 1.524,06 ; 1.524,06 ; 7,92 ; 7,83 ; 7,83 ; 19,71 ; 19,48 ; 19,48 ;;;;
#98;Francis I of France; -   ; -   ; -   ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; 110 ; 120 ; 105 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 35 ; 35 ; 75 ; 55 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 301 ; 272 ; 285 ; 451 ; 422 ; 420 ; 256 ; 237 ; 250 ; 256 ; 237 ; 250 ; 3.637 ; 858 ; 1.293 ; 743 ; 743 ; 256 ; 237 ; 250 ; 133 ; 122 ; 128 ; 1.729,17 ; 1.635,85 ; 1.700,05 ; 9,33 ; 8,61 ; 9,12 ; 23,22 ; 21,42 ; 22,69 ;;;;
